"mins","seconds","result","replicate","sample_id"
0,0,2.201283436,0,"1-320-78"
0,0,2.162805066,1,"1-320-78"
0,0,2.137152819,2,"1-320-78"
0,0,2.284653239,3,"1-320-78"
0,0,2.8,0,"1-320-80"
0,0,2.62,1,"1-320-80"
0,0,2.75,2,"1-320-80"
0,0,2.57,3,"1-320-80"
0,0,2.64,0,"1-320-159"
0,0,2.55,1,"1-320-159"
0,0,2.77,2,"1-320-159"
0,0,3,3,"1-320-159"
0,0,2.52,0,"1-320-159-dup"
0,0,2.45,1,"1-320-159-dup"
0,0,2.36,2,"1-320-159-dup"
0,0,2.49,3,"1-320-159-dup"
0,0,2.28,0,"1-320-160"
0,0,2.34,1,"1-320-160"
0,0,2.27,2,"1-320-160"
0,0,2.36,3,"1-320-160"
0,0,3,0,"1-320-161"
0,0,2.88,1,"1-320-161"
0,0,2.78,2,"1-320-161"
0,0,2.95,3,"1-320-161"
0,0,2.97,0,"1-320-163"
0,0,2.82,1,"1-320-163"
0,0,2.77,2,"1-320-163"
0,0,2.76,3,"1-320-163"
0.5,30,3.097839933,0,"1-320-129"
0.5,30,2.967198291,1,"1-320-129"
0.5,30,2.970464332,2,"1-320-129"
0.5,30,3.022720989,3,"1-320-129"
0.5,30,2.350267185,0,"1-320-132"
0.5,30,2.305293965,1,"1-320-132"
0.5,30,2.100415961,2,"1-320-132"
0.5,30,2.10707866,3,"1-320-132"
0.5,30,2.769570001,0,"1-320-132-dup"
0.5,30,2.877174334,1,"1-320-132-dup"
0.5,30,3.198331884,2,"1-320-132-dup"
0.5,30,3.198331884,3,"1-320-132-dup"
0.5,30,3.134465248,0,"1-320-133"
0.5,30,2.740341192,1,"1-320-133"
0.5,30,2.799291371,2,"1-320-133"
0.5,30,2.565174945,3,"1-320-133"
0.5,30,3.017511864,0,"1-320-135"
0.5,30,3.093474937,1,"1-320-135"
0.5,30,2.922153964,2,"1-320-135"
0.5,30,2.894677958,3,"1-320-135"
0.5,30,2.827924,0,"1-320-136"
